,event_type,event_date,tail_number,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,probable_cause,latitude,longitude,airport_id,operator,make,aircraft_damage,model
399,ACC,2014-09-15,N654A,none,0,0,0,the failure of the first officer to control the airplane pitch after touchdown. contributing to the accident was the first officers inexperience in the aircraft type.,25.765832,-80.218887,MIA,american,boeing,Substantial,757
406,ACC,2014-08-14,N758SW,none,0,0,0,the disconnection of baggage carts that subsequently collided with the parked airplane following the tug driving over a dip in the roadway.,40.786388,-111.973052,SLC,southwest,boeing,Substantial,737
409,ACC,2014-07-29,N553UA,none,0,0,0,the first officer's failure to maintain the correct airspeed and pitch attitude during landing that resulted in a tailstrike.,32.733055,-117.188056,SAN,united,boeing,Substantial,757
410,INC,2014-07-11,N139DL,none,0,0,0,"the combination of fuel leaking from the integrated drive generator (idg) fuel/oil heat exchanger and the coincident arcing of the idg power feeder cables that ignited the leaking fuel.  contributing to the ignition of the fuel was the misrouting of the idg power feeder cables, which resulted in chaffed cables that exposed the electrical wire that contacted a metal bracket, creating an arc.",33.941665,-118.408332,LAX,delta,boeing,Minor,767
419,ACC,2014-03-13,N113UW,none,0,0,0,the  captain's decision to reject the takeoff after the airplane had rotated. contributing to the accident was the flight crew's failure to follow standard operating procedures by not verifying that the airplane's flight management computer was properly configured for takeoff and the captain's failure to perform the correct action in response to the electronic centralized aircraft monitoring alert.,39.860553,-75.273887,PHL,us airways,airbus,Substantial,A320
420,ACC,2014-03-05,N809DN,serious,0,1,0,the flight attendant's inadvertent trip and fall over a passenger bag that was in the aisle.,32.735,-117.18972,SAN,delta,boeing,None,737
424,ACC,2014-01-31,N921DL,none,0,0,0,inattention by ground crew personnel which resulted in the airplane being substantially damaged.,33.636943,-84.428054,ATL,delta,mcdonnell_douglas,Substantial,MD-88
425,INC,2014-01-12,N272WN,none,0,0,0,the flight crew's failure to properly identify the airport and runway of intended landing.contributing to the incident was the flight crew's failure to comply with procedures for use of navigation information and visual cues to verify the airport and runway of intended landing and the air traffic controller's issuance of erroneous airport geographic information without including the location of proximate airports.,36.625831,-93.228889,PLK,southwest,boeing,None,737
428,ACC,2014-01-03,N8327A,none,0,0,0,the captain's over rotation during the bounced landing.,36.080001,-115.152221,LAS,southwest,boeing,Substantial,737
429,INC,2013-12-23,N360SW,none,0,0,0,"the initial damage to the fan blades was caused by the ingestion of two mallard ducks that caused one or more fan blades to fracture, striking the fan shroud, as well as other passing fan blades, producing various sized blades fragments that created a cascading effect of collateral impact damage to the other fan blades, the fan case, and the inlet cowl. one large blade fragment was deflected out of the fan containment plane, which pierced and exited the inlet cowl in a benign direction.the engine and airplane met the applicable bird and containment design standards since the engine did not catch on fire, no engine cases exhibited any penetrations, the engine was able to be shutdown normally, and the airplane damage did not impact the safe operation of the airplane or create a hazard to the persons on board.",38.750278,-90.375556,STL,southwest,boeing,Minor,737
440,ACC,2013-08-14,N155UP,fatal,2,0,0,"the flight crew's continuation of an unstabilized approach and their failure to monitor the aircraft's altitude during the approach, which led to an inadvertent descent below the minimum approach altitude and subsequently into terrain. contributing to the accident were (1) the flight crew's failure to properly configure and verify the flight management computer for the profile approach; (2) the captain's failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured; (3) the flight crew's expectation that they would break out of the clouds at 1,000 feet above ground level due to incomplete weather information; (4) the first officer's failure to make the required minimums callouts;  (5) the captain's performance deficiencies likely due to factors including, but not limited to, fatigue, distraction, or confusion, consistent with performance deficiencies exhibited during training; and (6) the first officer's fatigue due to acute sleep loss resulting from her ineffective off-duty time management and circadian factors.",33.563888,-86.802223,BHM,united,airbus,Destroyed,A300
442,ACC,2013-07-22,N753SW,minor,0,0,8,the captain's attempt to recover from an unstabilized approach by transferring airplane control at low altitude instead of performing a go-around. contributing to the accident was the captain's failure to comply with standard operating procedures.,40.777221,-73.872497,LGA,southwest,boeing,Substantial,737
444,ACC,2013-06-13,N995DL,none,0,0,0,the flight crews failure to maintain clearance from the light pole while taxiing.,36.121387,-86.673614,BNA,delta,mcdonnell_douglas,Substantial,MD-88
448,INC,2013-05-10,N913WN,none,0,0,0,"the failure of the tug operator and wing walker to adequately monitor the environment during pushback of the airplane from the gate in preparation for flight, which led to the collision of the airplane with an adjacently parked airplane.",33.433887,-112.006942,PHX,southwest,boeing,Minor,737
449,ACC,2013-05-09,N327NW,serious,0,1,0,the flight attendant's inadvertent trip over the jumpseat that had not retracted automatically.,32.896667,-97.036941,DFW,delta,airbus,None,A320
453,ACC,2013-03-07,N698DL,none,0,0,0,the pilot's failure to maintain correct airspeed and pitch attitude at touchdown.,33.636665,-84.42778,ATL,delta,boeing,Substantial,757
456,ACC,2013-02-19,N174UA,serious,0,1,0,"the flight’s encounter with moderate clear air turbulence while en route, which resulted in a serious injury to a flight attendant. contributing to the accident was the lack of communication equipment in the rest compartment, which, if installed, could have alerted the cabin crewmembers that the seatbelt sign was on.",20.228055,-139.203048,SFO,united,boeing,None,747
458,ACC,2013-01-25,N618FE,none,0,0,0,"the flight crews failure to perform a takeoff performance data briefing following the final entries into the flight management system, which would have alerted them to the incorrect weight entry and resulting incorrect landing speeds. contributing to the accident was the failure of the flight crew to recognize and respond to various visual cues indicating the airplane's airspeed was too slow, resulting in a higher than normal pitch during landing and the tail of the airplane striking the runway.",39.856666,-104.660278,DEN,federal express,mcdonnell_douglas,Substantial,MD-11
459,INC,2012-12-31,N206UA,none,0,0,0,NA,0.0,0.0,ICN,united,boeing,None,777
461,ACC,2012-12-26,N612FE,minor,0,0,1,"the operator's failure to provide appropriate training and documentation for ground personnel, leading the marshaller to inadvertently guide the airplane into the collision.",35.042499,-89.976669,MEM,federal express,mcdonnell_douglas,Substantial,MD-11
464,ACC,2012-10-16,N625SW,serious,0,1,0,"the flight attendant's encounter with an unseen obstruction in the aisle, which resulted in a fall.",36.080001,-115.152221,LAS,southwest,boeing,None,737
466,ACC,2012-10-04,N894AT,none,0,0,0,"an obstruction (a sleeve of cups) that lodged under the catering truck brake pedal, which prevented the driver from stopping the truck before it struck the parked airplane.",42.941387,-87.891387,MKE,southwest,boeing,Substantial,717
467,ACC,2012-09-18,N273AY,serious,0,1,0,an encounter with moderate turbulence while the flight attendant was securing the cabin for arrival.,35.0,-79.0,CLT,us airways,airbus,None,A330
473,INC,2012-07-31,N37420,none,0,0,0,"an in-flight collision with a bird during descent to land, which resulted in damage to the left pitot tube and loss of airspeed information to the left and right primary flight displays (pfd). the reason for the total loss of indications on the left pfd could not be determined based on available evidence.",39.861667,-104.673057,DEN,united,boeing,Minor,737
474,INC,2012-07-27,N379SW,none,0,0,0,the rupture of the nose landing gear hydraulic line that resulted from abrasions due to contact with the nose landing gear tire. contributing to the incident was the incorrect installation of union and restrictor on the actuator.,31.807222,-106.376388,ELP,southwest,boeing,Minor,737
475,ACC,2012-07-18,N502AE,serious,0,1,0,"the emergency ground egress during which a passenger broke her ankle. contributing to the accident was the failure of the environmental system, which allowed smoke from a nearby house fire to enter the airplane.",40.664165,-89.693336,PIA,american,bombardier,None,CL-600-2C10
478,INC,2012-06-17,N552JB,none,0,0,0,"the failure of the right main landing gear door retraction flexible hydraulic line in the green hydraulic system, which led to prolonged operation of the power transfer unit and subsequent overheating and loss of pressure in the yellow hydraulic system, resulting in the airplane's operation with only one hydraulic system. contributing to the incident was the lack of incorporation of aircraft manufacturer service bulletins that describe procedures for aircraft modifications intended to prevent this occurrence.",40.759628,-73.710739,LAS,jetblue,airbus,None,A320
481,ACC,2012-06-07,N936UW,serious,0,1,1,an inadvertent encounter with convective turbulence.,39.874443,-75.241943,PHL,american,boeing,None,757
484,ACC,2012-05-10,N951FR,serious,0,1,0,"an inadvertent encounter with convectively induced turbulence developing upwards into the flight path, which was not detected on weather radar as configured by the crew.contributing to the delay in emergency medical personnel notification was the incomplete coordination of paramedic response by air traffic control and ineffective communications monitoring by frontier airlines.",26.074161,-80.150914,FLL,frontier,airbus,None,A319
489,ACC,2012-03-20,N247WN,serious,0,1,0,"the airplane’s encounter with severe turbulence during cruise flight, which resulted in a serious injury to a flight attendant.",36.700466,-99.889244,WWR,southwest,boeing,None,737
497,INC,2012-02-13,N304FE,none,0,0,0,"the fracture of the fan mid shaft due to a stress corrosion cracking initiated by local regions of corrosion pitting, which resulted from oil migration within the shaft and its subsequent degradation.",45.589168,-122.605552,PWM,federal express,mcdonnell_douglas,Minor,MD-10
498,INC,2012-02-08,N360AA,none,0,0,0,the failure of the american airlines aviation maintenance technicians to properly reassemble the two-piece bracket and spray shield on the integrated drive generator fuel-oil heat exchanger that caused a fuel leak that sprayed out and ignited on hot engine cases. contributing to the cause of the fire was the 767 aircraft maintenance manual’s lack of any graphical or pictorial displays of the correct assembly of the two-piece bracket and spray shield.,40.709255,-73.829734,JFK,american,boeing,None,767
504,INC,2011-12-22,N469WN,none,0,0,0,"the snowplow operator’s incapacitation due to fatigue, which resulted in the snowplow contacting a parked airplane. contributing to the incident was the company’s lack of a policy regarding employee fatigue.",39.750244,-104.999649,DEN,southwest,boeing,Minor,737
505,ACC,2011-12-08,"N583NW, N303DQ",none,0,0,0,the failure of the captain of n303dq to maintain a safe clearance from n583nw that was stopped on the taxiway.,33.631942,-84.433052,ATL,delta,boeing,Substantial,757
507,ACC,2011-12-01,N261WN,serious,0,1,2,the flight crew’s flight into known severe turbulence associated with mountain wave activity.,37.729171,-122.24089,OAK,southwest,boeing,None,737
511,ACC,2011-11-10,N331NW,none,0,0,0,"in-flight collision with birds during initial climb, which resulted in substantial damage to the aircraft.",44.867778,-93.226669,MSP,delta,airbus,Substantial,A320
512,INC,2011-10-23,N661US,none,0,0,0,"the penetration of turbine blade fragments through the rear turbine case, which punctured the no. 4 bearing oil pressure supply tube, allowing misted oil to contact the hot engine case and ignite the undercowl fire.contributing to the incident was the installation of approved (but not preferred) stage 3 low pressure turbine outer transition duct segments with the riveted rear seal configuration and the failure of the engine design to comply with the engine debris containment requirements of 14 code of federal regulations 33.13 and 33.75.",42.349647,-83.059921,DTW,delta,boeing,Minor,747
516,INC,2011-10-10,N553NW,none,0,0,0,"the return to service of overhauled airplane engine parts with undetected fatigue cracks, resulting in complete loss of engine power and uncontained engine failure. a contributing factor was the inadequate diffuser and hpt case inspection procedure.",33.763332,-84.401664,ATL,delta,boeing,Minor,757
517,ACC,2011-10-07,N922DL,none,0,0,0,the tug driver's inadequate control of the tug while maneuvering the airplane during pushback.,33.635276,-84.42028,ATL,delta,mcdonnell_douglas,Substantial,MD-88
518,ACC,2011-09-29,N804NN,serious,0,1,0,"the in-flight encounter with clear air turbulence, which resulted in an injury to a cabin attendant.",25.766666,-80.291664,MIA,american,boeing,None,737
519,INC,2011-09-26,N526UA,none,0,0,0,"**this probable cause was modified on 4/5/2012. please see the public docket for this accident to view the original probable cause.**the initial damage to the fan blades was caused by the ingestion of a red-tailed hawk that caused one or more fan blades to fracture, striking the fan case and causing it to bulge. the initial fan blade fragment release impacted and damaged other passing fan blades generating various sized blades fragments. some of these blade fragments were propelled forward of the fan case by passing fan blades and were reingested, creating a cascading effect of collateral impact damage to the other fan blades, the fan case, and the inlet cowl.",39.749824,-104.999977,DEN,united,boeing,Minor,757
533,ACC,2011-06-11,N571UA,none,0,0,0,the ramp personnel's failure to visually verify the position of the jetway before beginning the airplane pushback.,37.618057,-122.387779,SFO,united,boeing,Substantial,757
537,INC,2011-06-03,N607AE,none,0,0,0,"the overheat and failure the brake during landing due to oxidation of the brake rotors, which went undetected by maintenance personnel. contributing to the accident was maintenance personnel’s lack of familiarity with detailed brake oxidation inspection procedures.",41.981388,-87.906669,ORD,american,embraer,None,ERJ-145
538,ACC,2011-05-31,N526UA,serious,0,1,0,"the ground crewmembers’ failure to follow proper procedures for removing a stuck or jammed tow bar, which resulted in a ground crew injury.",33.938888,-118.404724,LAX,united,boeing,Minor,757
539,ACC,2011-05-23,N623DL,serious,0,1,1,"inadvertant encounter with convective turbulence while in cruise.  contributing to the severity of the accident was the unrestrained status of the passenger, contrary to the lighted seat belt sign.",36.364723,-81.579719,ATL,delta,boeing,None,757
543,ACC,2011-05-12,"N308DE, N378DA",none,0,0,0,the b737-700 pilot did not maintain adequate wing tip clearance while taxiing around the stopped b-737-800.,33.636665,-84.428054,ATL,delta,boeing,Minor,737
545,ACC,2011-05-06,N12221,none,0,0,0,"the failure of a utility pipe beneath the ramp surface, which caused a localized void in the soil and resulting reduction in the load bearing capability of the ramp.",33.469165,-90.983612,GLH,continental,boeing,Substantial,737
546,INC,2011-04-26,N799SW,none,0,0,0,"the flight crew's delayed deployment of the speedbrakes and thrust reversers, resulting in insufficient runway remaining to bring the airplane to a stop.contributing to the delay in deployment of these stopping devices was the flight crew's inadequate monitoring of the airplane's configuration after touchdown, likely as a result of being distracted by a perceived lack of wheel braking effectiveness.contributing to the incident was the flight crew's omission of the before landing checklist, which includes an item to verify speedbrake arming before touchdown, as a result of workload and operational distractions during the approach phase of flight.",41.89046,-87.620109,MDW,southwest,boeing,Minor,737
547,ACC,2011-04-25,N807NW,serious,0,1,0,"the flight attendant's inadvertent fall, which resulted in a serious injury.",40.63972,-73.778892,JFK,delta,airbus,None,A330
551,ACC,2011-04-11,N766AN,serious,0,2,2,an inadvertent encounter with convective-induced turbulence upon entering cumulonimbus clouds.,35.893333,143.871673,NRT,american,boeing,None,777
552,INC,2011-04-04,N409UA,none,0,0,0,"the captain's failure to properly recognize and manage the abnormal condition, resulting in it escalating to an in-flight emergency.",29.989721,-90.249443,MSY,united,airbus,Minor,A320
555,ACC,2011-04-01,N632SW,minor,0,0,2,"the improper installation of the fuselage crown skin panel at the s-4l lap joint during the manufacturing process, which resulted in multiple site damage fatigue cracking and eventual failure of the lower skin panel. contributing to the injuries was flight attendant a's incorrect assessment of his time of useful consciousness, which led to his failure to follow procedures requiring immediate donning of an oxygen mask when cabin pressure is lost.",32.656665,-114.605834,NYL,southwest,boeing,Substantial,737
558,ACC,2011-03-26,N931AE,serious,0,1,0,an in-flight encounter with convectively induced turbulence associated with developing thunderstorms under the flight path during the airplane's climb to cruise flight.,37.912498,-93.590278,MCI,american,embraer,None,ERJ-145
560,ACC,2011-03-22,N173UP,none,0,0,0,the captain's failure to control the airplane pitch-up induced by ground spoiler deployment during the go-around.,35.033332,-106.599998,ABQ,united,airbus,Substantial,F4-622R
563,INC,2011-03-11,N693DL,none,0,0,0,"the air traffic controllers’ failure to adhere to required radar identification procedures, which resulted in loss of separation between the departing boeing 757 and three other airplanes.  contributing to the incident was the pilots’ inadequate preflight checks, which resulted in the airplane departing with an inoperative transponder.",0.0,0.0,ATL,delta,boeing,None,757
565,ACC,2011-02-25,N957UW,serious,0,1,0,improper latching of the aft galley cart prior to landing.,40.777221,-73.872497,LGA,us airways,embraer,None,ERJ-190
566,INC,2011-02-20,N945AN,none,0,0,0,the tractor driver’s failure to confirm that the tow bar head/handle was secured correctly to the airplane.,32.896945,-97.038055,DFW,american,boeing,Minor,737
567,ACC,2011-02-19,N706JB,serious,0,1,1,"the airplane's inadvertent encounter with turbulence during the approach, which resulted in serious injury to a flight attendant.",44.045124,-72.710533,BTV,jetblue,airbus,None,A320
568,INC,2011-02-09,N704X,none,0,0,0,"the failure of the right engine's fuel control unit to operate correctly when the fuel metering valve became frozen in the full open position because of corrosion on the fuel metering valve slide and sleeve, which caused the engine to be overfueled during engine start and resulted in a tailpipe fire.",44.52,-93.120002,MSP,delta,boeing,Minor,757
571,ACC,2011-01-03,N831NN,none,0,0,0,"the early rotation of the airplane to an angle at which the fuselage contacted the runway.  contributing to early rotation was the captain’s reaction to the erroneous v1 automated callout, likely assuming that the airplane was at or close to the correct vr at the same time.  the erroneous automated callout was likely due to a keystroke entry error by the fo when manually entering takeoff data for a newly assigned departure runway.",33.942501,-118.408058,LAX,american,boeing,Substantial,737
573,INC,2010-12-29,N668AA,none,0,0,0,"a manufacturing defect in a clutch mechanism that prevented the speedbrakes from automatically deploying after touchdown, and the captain’s failure to monitor and extend the speedbrakes manually. also causal was the failure of the thrust reversers to deploy when initially commanded. contributing to the incident was the captain’s failure to confirm speedbrake extension before announcing their deployment, and his distraction caused by the thrust reversers’ failure to initially deploy after landing.",43.469985,-110.760002,JAC,american,boeing,None,757
574,INC,2010-12-24,N248WN,none,0,0,0,"the probable cause of the undercowl in-flight engine fire was the insufficient installation torque of the bolts that secure the fuel manifold cover to the fuel manifold.  engine vibrations and fuel pressure cycles caused the bolts to gradually loosen further until one bolt lost all its tightening torque and fell out. the internal fuel pressure then forced open the fuel manifold cover at the location of the missing bolt, causing a gap between the two mating surfaces which allowed fuel to push past the integral packing, resulting in a fuel leak onto the hot engine cases where it ignited resulting in a fire.",37.779628,-122.419273,SFO,southwest,boeing,None,737
575,ACC,2010-12-18,"N913WN, N650SW",none,0,0,0,the failure of the ground operations personnel to maintain awareness of the relative position of the two airplanes.,39.872222,-75.240837,PHL,southwest,boeing,Substantial,737
576,INC,2010-12-09,"N3731T, N840HK",none,0,0,0,the local controller's distraction with a helicopter south of the field.,39.042499,-84.667778,CVG,delta,boeing,None,737
583,ACC,2010-11-23,N678AE,serious,0,1,0,the passenger's decision to deplane without assistance despite having a preexisting condition that limited her mobility.,43.139999,-89.337501,MSN,american,embraer,None,ERJ-145
586,ACC,2010-11-08,N422QX,none,0,0,0,an in-flight collision with a bird.,34.236389,-118.339721,LAX,us airways,bombardier,Substantial,DASH-8
589,ACC,2010-10-26,N626AA,none,0,0,0,fatigue failure of the fuselage crown skin due to incorrect manufacturing of the crown skin panel that resulted in a skin thickness less than the manufacturer-specified thickness.,25.779413,-80.19902,MIA,american,boeing,Substantial,757
595,INC,2010-09-18,N574FE,none,0,0,0,NA,0.0,0.0,FPG,federal express,mcdonnell_douglas,None,MD-11
599,INC,2010-08-26,N590JB,minor,0,0,7,"the first officer’s inadvertent activation of the parking brake in flight, which led to the airplane abruptly stopping and all four of its main landing gear tires deflating, and his use of a nonstandard procedure to cancel the airplane's monitoring alert system.",38.695556,-121.590835,SMF,jetblue,airbus,Minor,A320
602,INC,2010-08-04,N644UA,minor,0,0,6,the brake fire after landing was caused by hydraulic fluid leaking on to hot brakes.,41.585277,-87.542503,ORD,united,boeing,Minor,767
604,INC,2010-07-17,N990DL,none,0,0,0,the cause of the right wing landing light switch fire is undetermined.,0.0,0.0,ATL,delta,mcdonnell_douglas,Minor,MD-88
607,ACC,2010-06-19,N3730B,none,0,0,0,a baggage cart impacting the airplane and causing substantial damage as a result of the jet blast from a passing airplane.,40.650001,-73.783332,JFK,delta,boeing,Substantial,737
609,INC,2010-06-16,N196DN,none,0,0,0,a short circuit involving the light in position l3 on the squib test panel.  the specific cause of the short circuit could not be determined.,0.0,0.0,GAV,delta,boeing,Minor,767
610,ACC,2010-06-05,"N277AY, N508AY",none,0,0,0,the airbus a330 flight crew's failure to maintain clearance from a standing airplane while taxiing.,35.213611,-80.94889,CLT,us airways,airbus,Minor,A330
613,INC,2010-05-21,"N810AW, LXTCV",none,0,0,0,the approach controller's delayed transfer of communications on the a319 to the tower controller and failure to account for the aircraft's speed when he directed the crew to turn north. contributing to the incident was the 747 crew's transfer of radio communications to departure control prior to being directed to do so by the tower controller.,55.920562,-159.489883,ANC,us airways,airbus,None,A319
616,INC,2010-05-07,N128UA,none,0,0,0,NA,0.0,0.0,SYD,united,boeing,Minor,747
620,INC,2010-04-28,"N242WN, N6YJ",none,0,0,0,the failure of the local controller to issue control instructions necessary to ensure positive control/standard separation of traffic operating within the class b airspace.,29.649503,-95.280235,HOU,southwest,boeing,None,737
622,INC,2010-04-19,"N473WN, N4415R",none,0,0,0,the improper separation procedures by air traffic control.,34.170082,-118.339027,BUR,southwest,boeing,None,737
625,INC,2010-04-13,N380AN,minor,0,0,5,NA,0.0,0.0,IKF,american,boeing,None,767
626,ACC,2010-04-09,N624SW,none,0,0,0,"the tug operator’s failure to comply with company procedures when parking an unoccupied baggage tug, and the failure of the tug’s seat switch to disengage the electric motor when weight was removed from the driver’s seat.",33.946666,-118.400276,LAX,southwest,boeing,Substantial,737
628,INC,2010-04-05,N535JB,none,0,0,0,"the separation of both halves of the left engine fan cowl assembly due to improper latching and locking of the all the fan cowl latches. the cause of the improper latching and locking of the fan cowls was due to the failure of the mechanic to unstow and properly latch and lock the fan cowl latches after the engine maintenance had been completed, and the failure of the maintenance  inspector to detect and identify the unlatched condition. contributing the incident is the design of the fan cowl latch assembly that can provide a false latch condition when the latch is neither latched or locked. also contributing incident is the lack of adequate airbus and jet blue fan cowl latch inspection guidance to detect and identify an unlatched condition.",40.739349,-74.169296,EWR,jetblue,airbus,Minor,A320
638,ACC,2010-02-13,N221WN,serious,0,1,1,"the pilot’s abrupt airplane pitch change maneuver. contributing to the accident was the flight crew’s failure to maintain the heading specified by the air traffic controller, which would have avoided the near collision course with an unidentified airplane that triggered the traffic alert and collision avoidance system resolution advisory.",34.46389,-118.51361,BUR,southwest,boeing,None,737
640,INC,2010-01-11,N434AT,none,0,0,0,the sealing failure between the fuel nozzle adapter assembly and fuel transfer tubes that allowed fuel to leak into the nacelle fire zone where it was subsequently ignited by the hot combustor case. contributing to the failure was a combination of manufacturing defects of the fuel nozzle adapter assembly by the manufacturer and incorrectly overhauled fuel transfer tubes by the engine manufacturer. contributing to the incident was a second defect of the fuel nozzle adapter assembly by the manufacturer which prevented maintenance personnel from detecting the internal fuel leak.,0.0,0.0,STX,american,atr,Minor,ATR72
641,INC,2010-01-10,N816UA,minor,0,0,3,a mechanical failure of internal components of the right main landing gear door actuator resulting in the flight crew being unable to fully extend the right main landing gear using the normal and alternate procedures.contributing to this incident was a circular reference in the company flight manual in which the landing gear gravity extension checklist referred back to the landing gear unsafe indication after extension checklist rather than the landing gear - partial gear or gear up landing checklist.,40.740547,-74.169593,EWR,united,airbus,Minor,A319
644,ACC,2009-12-23,N977AN,minor,0,0,15,NA,17.935556,-76.787498,KJP,american,boeing,Substantial,737
645,ACC,2009-12-18,N515AE,minor,0,0,1,"the fueler's falling asleep in the fueling truck with the truck in neutral and without the parking brake set, which allowed the truck to roll until it impacted the airplane.",32.896945,-97.038055,DFW,american,bombardier,Substantial,CL600-2C10
646,INC,2009-12-14,N483A,none,0,0,0,"the captain's failure to initiate a go-around from a category iii approach when satisfactory tracking performance was not maintained below the required altitude resulting in excessive bank angle maneuvers at low altitude. factors contributing to the incident were:  the captain's decision to execute a category iii autoland approach on a runway without rollout guidance contrary to company flight manual guidance, the captain's decision to deviate from the category iii approach and continue it manually contrary to the company operating manual, and the first officer's failure to call for a go-around when the approach became unstable.",35.363887,-80.943054,CLT,american,boeing,Minor,MD-82
649,INC,2009-11-14,N924FR,none,0,0,0,the in-flight engine ingestion of one or more lesser snow geese (chen caerulescens caerulescens).,39.297779,-94.71389,MCI,frontier,airbus,Minor,A319
651,ACC,2009-10-27,N825MH,serious,0,1,0,unforecasted turbulence resulting in a flight attendant being injured.,33.636665,-84.428054,ATL,delta,boeing,None,767
655,INC,2009-10-19,N185DN,none,0,0,0,"the flight crew’s failure to identify the correct landing surface due to fatigue. contributing to the cause of the incident were (1) the flight crew’s decision to accept a late runway change, (2) the unavailability of the approach light system and the instrument landing system for the runway of intended landing, and (3) the combination of numerous taxiway signs and intermixing of light technologies on the taxiway.",0.0,0.0,ATL,delta,boeing,None,767
657,INC,2009-09-17,N66051,none,0,0,0,failure of main landing gear (mlg) truck beam was due to contamination of the inner surface corrosion protective layers from hydraulic fluid and deice fluid that resulted in corrosion and intergranular stress corrosion cracking.,40.740413,-74.169425,EWR,continental,boeing,Minor,767
658,INC,2009-09-08,N670SW,none,0,0,0,the failure of the right main landing gear inboard axle due to fatigue cracking as a result of fretting damage in one of the brake mounting bolt holes.,33.942501,-118.407218,LAX,southwest,boeing,Minor,737
660,INC,2009-09-03,N258JB,minor,0,0,6,failure of the engine high pressure turbine active clearance control valve fuel rod supply tube coupling seal due to a cross-threaded b-nut as installed during original manufacture.,0.0,0.0,YNN,jetblue,embraer,Minor,ERJ-190
668,INC,2009-07-20,N658UA,none,0,0,0,NA,0.0,0.0,IKF,united,boeing,Minor,767
669,INC,2009-07-15,N506AU,none,0,0,0,the failure of the left hand main landing gear was caused by heat induced cracks resulting from abusive grinding/polishing of the chrome plate that was applied during the last overhaul.,35.230159,-80.90995,CLT,us airways,boeing,Minor,737
670,ACC,2009-07-13,N387SW,none,0,0,0,fuselage skin failure due to preexisting fatigue at a chemically milled step.,38.373054,-81.593055,CRW,southwest,boeing,Substantial,737
672,ACC,2009-07-10,N606JB,serious,0,2,2,an inadvertent in-flight encounter with turbulence during approach. contributing to the accident was the passengers' failure to follow the instructions of the illuminated seatbelt sign.,26.536111,-81.755279,RSW,jetblue,airbus,None,A320
673,INC,2009-06-26,"N375PH, N24103",none,0,0,0,"the local controller did not visually scan the runways and ensure that the e145 had crossed runway 24l prior to issuing a takeoff clearance to the dh8, did not ensure separation between the two airplanes, and did not cancel takeoff clearance for the dh8 in a timely manner.",41.490013,-81.66954,CLE,continental,bombardier,None,DASH-8
676,INC,2009-06-10,N570UA,none,0,0,0,"there was a malfunction of the electronic engine control (eec) burner pressure (pb) sensor that had an abnormally high indication that resulted in an excessive amount of fuel being pumped into the engine that was still at a sub-idle condition.  because the engine was still accelerating to idle, the limited airflow through the engine engine was insufficient for the amount of fuel and resulted in a tailpipe fire.  the cause of the eec's pb sensor fault could not be determined.",39.749629,-105.000953,DEN,united,boeing,Minor,757
679,ACC,2009-05-21,N843AE,none,0,0,0,the flight crew's failure to adequately monitor and maintain clearance from a parked aircraft while taxiing. contributing to the accident was an improperly parked airplane that encroached upon the taxiway area.,33.942501,-118.406944,LAX,american,embraer,Substantial,EMB-135
682,INC,2009-05-12,N371SW,minor,0,0,2,"the pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.",29.640556,-95.273887,HOU,southwest,boeing,Minor,737
686,ACC,2009-04-18,N27722,serious,0,1,3,the injured passenger's failure to comply with the requirement to remain seated with a fastened seatbelt.,26.172222,-98.236389,MFE,continental,boeing,None,737
688,ACC,2009-03-28,N941DL,serious,0,1,0,the flight attendant’s failure to properly restrain herself after taking her jumpseat.,33.640556,-84.42694,ATL,delta,mcdonnell_douglas,Minor,MD88
689,ACC,2009-03-23,N526FE,fatal,2,0,0,NA,35.76472,140.386383,NRT,federal express,mcdonnell_douglas,Destroyed,MD-11
696,ACC,2009-01-15,N106US,serious,0,5,0,"the ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the hudson river. contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the federal aviation administration’s approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captain’s resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation.contributing to the survivability of the accident was (1) the decision-making of the flight crewmembers and their crew resource management during the accident sequence; (2) the fortuitous use of an airplane that was equipped for an extended overwater flight, including the availability of the forward slide/rafts, even though it was not required to be so equipped; (3) the performance of the cabin crewmembers while expediting the evacuation of the airplane; and (4) the proximity of the emergency responders to the accident site and their immediate and appropriate response to the accident.",40.7695,-74.0046,LGA,us airways,airbus,Substantial,A320
697,INC,2009-01-02,N864DA,none,0,0,0,the fan blade fractured due to a fatigue crack that was the result of the combination of the breakdown of the fan blade lubrication system and residual fatigue life usage following the last overhaul of the fan blade.  contributing to the fracture was the inadequate lubrication schedule established by the engine manufacturer that was not reflective of the operator’s use of the engine.,33.750167,-84.39064,ATL,delta,boeing,Minor,777
701,ACC,2008-12-26,N9617R,none,0,0,0,"the first officer's unannounced advancement of the left engine throttle, which led to a sustained application of high thrust that caused the airplane to impact the tug.",33.949771,-118.399665,LAX,american,mcdonnell_douglas,Substantial,DC-8
