NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate
DCA10WA096,INC,77389,2010-09-18T18:30:00Z,Paris,,France,,N574FE,FALSE,None,2020-11-03T05:00:00Z,None,0,0,0,,,0,0,MCDONNELL DOUGLAS,MD11,AIR,LFPG,Paris-Charles De Gaulle Airpor,FALSE,,NSCH,,121,None,,FEDERAL EXPRESS CORP,N/A,FALSE,,
OPS10IA574,INC,77318,2010-09-16T07:49:00Z,Minneapolis,Minnesota,United States,,"N122US, N7212P",FALSE,DirectorBrief,2011-05-19T04:00:00Z,None,0,0,0,The Local North Controller's issuance of a left-turn heading to the Airbus without establishing the position and heading of the Beech. Contributing to the incident was the Local South Controller's distraction with a ground movement operation and lack of awareness of the Beech's heading and the impending conflict. Also contributing to the incident was the Beech's delayed turn to the assigned departure heading.,,44.900077,-93.230346,"AIRBUS INDUSTRIE, BEECH","A320-214, C-99","AIR,AIR",,,"FALSE,FALSE","2,2",SCHD,",","121,135","None,None",IMC,"US AIRWAYS INC,BEMIDJI AVIATION SERVICES INC",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=77318,3/14/2011 17:52
OPS10IA538,INC,77224,2010-09-04T20:50:00Z,Los Angeles,California,United States,,"N907WN, N222AM",FALSE,DirectorBrief,2011-12-19T05:00:00Z,None,0,0,0,Failure of the air traffic controller to exercise positive control of the situation by issuing clear and timely control instructions to the helicopter pilot.  Contributing to the incident was delay by the helicopter pilot in responding to instructions issued by the controller.,,33.969326,-118.239624,"BOEING, BELL","737-7H4, 222U","AIR,HELI",,,"FALSE,FALSE","2,2",SCHD,",POSI","121,091","None,None",VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=77224,11/1/2011 16:42
DCA10RA092,ACC,77189,2010-09-03T16:45:00Z,Dubai,,United Arab Emirates,,N571UP,TRUE,None,2020-11-03T05:00:00Z,Fatal,2,0,0,,,25.252644,55.36413,BOEING,747-44AF,AIR,,,FALSE,4,NSCH,,121,Destroyed,,UNITED PARCEL SERVICE CO,N/A,FALSE,https://data.ntsb.gov/Docket?ProjectID=77189,8/15/2012 22:32
WPR10IA430,INC,77100,2010-08-26T13:51:00Z,Sacramento,California,United States,,N590JB,FALSE,DirectorBrief,2014-03-07T05:00:00Z,Minor,0,0,7,"The first officer’s inadvertent activation of the parking brake in flight, which led to the airplane abruptly stopping and all four of its main landing gear tires deflating, and his use of a nonstandard procedure to cancel the airplane's monitoring alert system.",,38.695556,-121.590835,AIRBUS,A320-232,AIR,SMF,Sacramento International,FALSE,2,SCHD,,121,Minor,VMC,JETBLUE AIRWAYS CORP,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=77100,1/7/2014 13:36
WPR10LA395,ACC,76925,2010-08-10T14:40:00Z,Salt Lake City,Utah,United States,,N14105,FALSE,DirectorBrief,2011-03-16T04:00:00Z,None,0,0,0,An in-flight collision with a bird while on the downwind leg of the traffic pattern during a visual approach.,,40.788333,-111.977775,EMBRAER,EMB-145XR,AIR,KSLC,Salt Lake City International,FALSE,2,SCHD,,121,Substantial,VMC,Express Jet Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76925,9/28/2010 17:21
DCA10LA083,ACC,76906,2010-08-09T12:34:00Z,Summit,Mississippi,United States,,N856RW,FALSE,DirectorBrief,2020-03-30T04:00:00Z,Serious,0,1,0,the abrupt maneuver that was appropriately initiated to comply with the TCAS resolution advisory caused by the momentary projected loss of separation from converging traffic.  Contributing to the accident was a passenger's decision to disregard the seatbelt sign.,,31.283889,-90.46833,EMBRAER,ERJ 170 100 SE,AIR,,,FALSE,,SCHD,,121,None,VMC,SHUTTLE AMERICA CORP,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76906,7/21/2021 4:00
DCA10IA082,INC,76871,2010-08-04T16:47:00Z,Chicago,Illinois,United States,,N644UA,FALSE,DirectorBrief,2020-03-30T04:00:00Z,Minor,0,0,6,the brake fire after landing was caused by hydraulic fluid leaking on to hot brakes.,,41.585277,-87.542503,BOEING,767-322,AIR,ORD,CHICAGO O'HARE INTL,FALSE,2,SCHD,,121,Minor,VMC,United,Completed,FALSE,,
ENG10WA044,INC,76930,2010-07-28T10:04:00Z,Tokyo,,Japan,,219UA,FALSE,None,2020-11-03T05:00:00Z,None,0,0,0,,,0,0,BOEING,777,AIR,NRT,Narita International Airport,FALSE,2,SCHD,,121,None,,,N/A,FALSE,,
ENG10IA041,INC,76699,2010-07-17T23:26:00Z,Atlanta,Georgia,United States,,N990DL,FALSE,DirectorBrief,2011-12-21T05:00:00Z,None,0,0,0,The cause of the right wing landing light switch fire is undetermined.,,0,0,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,AIR,ATL,Hartsfield-Jackson Atlanta Int,FALSE,2,SCHD,,121,Minor,,DELTA AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76699,12/21/2011 15:03
DCA10FA076,ACC,76666,2010-07-15T03:00:00Z,,,,,N184DN,FALSE,DirectorBrief,2011-04-29T04:00:00Z,Serious,0,1,0,an inadvertent encounter with clear air turbulence.,,14.082145,144.79521,BOEING,767,AIR,,,FALSE,2,SCHD,,121,None,VMC,DELTA AIRLINES INC,Completed,FALSE,,
CEN10LA363,ACC,76498,2010-06-28T18:52:00Z,Pioneer,Louisiana,United States,,N601DW,TRUE,DirectorBrief,2011-11-17T05:00:00Z,Serious,0,2,3,"The inadvertent encounter with convective weather during cruise flight. Contributing to the accident was the flight crew's failure to detect and avoid the thunderstorm cell earlier in the flight, and the failure of air traffic controllers to provide the convective weather information to the flight crew.",,32.731485,-91.432869,EMBRAER,EMB-145LR,AIR,,,FALSE,2,SCHD,,121,None,IMC,AMERICAN EAGLE AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76498,9/29/2011 17:50
DCA10CA075,ACC,76628,2010-06-19T19:11:00Z,New York,New York,United States,,N3730B,FALSE,DirectorBrief,2015-11-12T05:00:00Z,None,0,0,0,a baggage cart impacting the airplane and causing substantial damage as a result of the jet blast from a passing airplane.,,40.650001,-73.783332,BOEING,737,AIR,KJFK,John F. Kennedy International,FALSE,2,SCHD,,121,Substantial,VMC,"Delta Air Lines, Inc.",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76628,11/12/2015 17:38
DCA10RA069,ACC,76333,2010-06-16T15:30:00Z,Ottawa,,Canada,,N847HK,FALSE,None,2020-11-03T05:00:00Z,Minor,0,0,3,,,45.318063,-75.663328,EMBRAER,EMB-145LR,AIR,,,FALSE,2,SCHD,,121,Substantial,,TRANS STATES AIRLINES INC,N/A,FALSE,,
ENG10IA038,INC,76340,2010-06-16T14:30:00Z,Athens,,Greece,,N196DN,FALSE,DirectorBrief,2011-07-05T04:00:00Z,None,0,0,0,A short circuit involving the light in position L3 on the squib test panel.  The specific cause of the short circuit could not be determined.,,0,0,BOEING,767,AIR,LGAV,Eleftherios Venizelos Internat,FALSE,2,SCHD,,121,Minor,,DELTA AIR LINES INC,Completed,FALSE,,
ERA10LA299,ACC,76224,2010-06-05T18:20:00Z,Charlotte,North Carolina,United States,,"N277AY, N508AY",FALSE,DirectorBrief,2011-04-07T04:00:00Z,None,0,0,0,The Airbus A330 flight crew's failure to maintain clearance from a standing airplane while taxiing.,,35.213611,-80.94889,"AIRBUS INDUSTRIE, AIRBUS","A330-323, A321-231","AIR,AIR",CLT,Charlotte/Douglas Internationa,"FALSE,FALSE","2,2",SCHD,",","121,121","Minor,Substantial",VMC,"US AIRWAYS INC,US AIRWAYS INC",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76224,1/14/2011 18:51
DCA10FA064,ACC,76110,2010-05-25T14:05:00Z,Southern Tip of Greenland,,Denmark,,N794UA,FALSE,DirectorBrief,2011-06-28T04:00:00Z,Serious,0,2,0,An inadvertent encounter with unforecast turbulence in cruise flight.,,62.075279,-48.291942,BOEING,777,AIR,,,FALSE,2,SCHD,,121,None,VMC,"United Airlines, Inc.",Completed,FALSE,,
WPR10IA256,INC,76081,2010-05-23T11:20:00Z,Ontario,California,United States,,N925SW,FALSE,DirectorBrief,2012-08-07T04:00:00Z,None,0,0,0,Failure of the airplane’s nose landing gear to extend for undetermined reasons.,,34.055831,-117.601112,BOMBARDIER INC,CL-600-2B19,AIR,ONT,Ontario International Airport,FALSE,2,SCHD,,121,Minor,VMC,SKYWEST AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76081,6/15/2012 17:55
OPS10IA196,INC,76105,2010-05-21T01:10:00Z,Anchorage,Alaska,United States,,"N810AW, LXTCV",FALSE,DirectorBrief,2011-10-03T04:00:00Z,None,0,0,0,The approach controller's delayed transfer of communications on the A319 to the tower controller and failure to account for the aircraft's speed when he directed the crew to turn north. Contributing to the incident was the 747 crew's transfer of radio communications to departure control prior to being directed to do so by the tower controller.,,55.920562,-159.489883,"AIRBUS INDUSTRIE, BOEING","A319-132, 747","AIR,AIR",PANC,Ted Stevens International Airp,"FALSE,FALSE","2,4",SCHD,",","121,129","None,None",VMC,"USAirways Inc,",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76105,8/19/2011 14:35
DCA10CA061,ACC,76055,2010-05-17T23:33:00Z,Miami,Florida,United States,,N498MC,FALSE,DirectorBrief,2017-01-23T05:00:00Z,None,0,0,0,impact of the fore flap with the aft fuselage after fatigue failure of the right wing fore flap carriage assembly attachment fitting at position 6.,,25.795278,-80.29,BOEING,747,AIR,MIA,Miami International Airport,FALSE,4,NSCH,,121,Substantial,VMC,ATLAS AIR INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76055,1/26/2017 12:18
ENG10IA029,INC,76023,2010-05-16T22:17:00Z,Chantilly,Virginia,United States,,N510UA,TRUE,DirectorBrief,2011-03-14T04:00:00Z,None,0,0,0,"The ignition of the J5 power terminal located on the captain’s No. 1 windshield due to a loose electrical connection between the terminal connector lug and its respective terminal block. The loose connection resulted from a missing lock washer that allowed the resistance in the electrical path to increase sufficiently to generate high enough temperatures to ignite the terminal block.Contributing to the probable cause was the lack of instructions to ensure the lock washer was installed in the J5 power terminal block in the Boeing 757 aircraft maintenance manual (AMM). Additionally, contributing to the incident was the deferral of the related maintenance write-up before the incident, which resulted from information in the United Airlines AMM that stated, “When bus bar(s) show signs of blackening or burning, the condition is acceptable for continued service, although the window must be replaced within 50 flight-hours.",,38.900085,-77.449478,BOEING,757,AIR,IAD,Washington Dulles,FALSE,2,SCHD,,121,Minor,,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=76023,3/14/2011 17:04
DCA10WA056,INC,75950,2010-05-07T18:00:00Z,Sydney,,Australia,,N128UA,FALSE,None,2020-11-03T05:00:00Z,None,0,0,0,,,0,0,BOEING,747-422,AIR,SYD,"Sydney, Australia",FALSE,4,SCHD,,121,Minor,VMC,UNITED AIR LINES INC,N/A,FALSE,,
DCA10WA055,INC,75949,2010-05-04T15:21:00Z,Seoul,,Republic Of Korea,,N749SA,FALSE,None,2020-11-03T05:00:00Z,None,0,0,0,,,0,0,BOEING,747-300 SERIES,AIR,ICN,Incheon,FALSE,4,NSCH,,121,Minor,VMC,SOUTHERN AIR INC,N/A,FALSE,,
CEN10LA240,ACC,75952,2010-04-29T22:40:00Z,Fort Dodge,Iowa,United States,,N320AA,FALSE,DirectorBrief,2011-04-12T04:00:00Z,Serious,0,1,5,The flight crew's inadequate separation from convective activity that resulted in serious injury to an unrestrained flight attendant.,,42.500896,-94.170417,BOEING,767,AIR,,,FALSE,2,SCHD,,121,None,,American Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75952,12/15/2010 17:41
OPS10IA163,INC,75990,2010-04-29T04:40:00Z,Burbank,California,United States,,"N953SW, N29LW",FALSE,DirectorBrief,2011-12-19T05:00:00Z,None,0,0,0,The local controller’s failure to issue control instructions necessary to ensure positive control/standard separation of traffic operating within the Class C airspace.,,0,0,"BOMBARDIER INC, AMERICAN EUROCOPTER LLC","CL-600-2B19, AS350B2","AIR,HELI",BUR,Bob Hope Airport,"FALSE,FALSE","2,1",SCHD,",AOBV","121,091","None,None",VMC,"SKYWEST AIRLINES INC,ANGEL CITY AIR INC",Completed,FALSE,,
OPS10IA132,INC,75909,2010-04-28T13:25:00Z,Houston,Texas,United States,,"N242WN, N6YJ",FALSE,DirectorBrief,2011-12-27T05:00:00Z,None,0,0,0,The failure of the local controller to issue control instructions necessary to ensure positive control/standard separation of traffic operating within the Class B airspace.,,29.649503,-95.280235,"BOEING, BELL","737-7H4, 407","AIR,HELI",HOU,William P.  Hobby Airport,"FALSE,FALSE","2,1",SCHD,",AOBV","121,091","None,None",VMC,"SOUTHWEST AIRLINES CO,HELICOPTERS INC",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75909,11/9/2011 20:09
OPS10IA155,INC,75964,2010-04-21T22:53:00Z,Chicago,Illinois,United States,,"N806AE, N71",FALSE,DirectorBrief,2011-12-19T05:00:00Z,None,0,0,0,The air traffic controller's issuance of an improper takeoff clearance to the pilot of the Embraer. Contributing to the incident was the instructor’s inadequate monitoring of the trainee local controller.,,41.890262,-87.619194,"EMBRAER, BEECH","EMB-135KL, 300","AIR,AIR",,,"FALSE,FALSE","2,2",SCHD,",PUBF","121,PUBU","None,None",VMC,"AMERICAN EAGLE AIRLINES INC,F A A TECHNICAL CENTER",Completed,FALSE,,
OPS10IA090,INC,75802,2010-04-19T11:58:00Z,Burbank,California,United States,,"N473WN, N4415R",FALSE,DirectorBrief,2011-12-27T05:00:00Z,None,0,0,0,The improper separation procedures by air traffic control.,,34.170082,-118.339027,"BOEING, CESSNA","737-7H4, 172M","AIR,AIR",KBUR,Bob Hope Airport,"FALSE,FALSE","2,1",SCHD,",PERS","121,091","None,None",VMC,"Southwest Airlines,RHODES JOHN D",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75802,11/9/2011 20:07
CEN10IA219,INC,75831,2010-04-18T07:33:00Z,Kansas City,Missouri,United States,,N160GJ,FALSE,DirectorBrief,2012-10-04T04:00:00Z,None,0,0,0,The malfunction of the airplane’s aileron control system due to ice accumulation.,,39.298332,-94.713333,BOMBARDIER INC,CL-600-2C10,AIR,,,FALSE,2,SCHD,,121,None,VMC,GOJET AIRLINES LLC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75831,8/10/2012 18:16
CEN10LA220,ACC,75832,2010-04-17T10:00:00Z,Chicago,Illinois,United States,,N461AA,FALSE,DirectorBrief,2011-05-26T04:00:00Z,Serious,0,1,0,The flight attendant's loss of balance resulting in a fall and a broken wrist.,,42.030517,-87.900566,MCDONNELL DOUGLAS,DC-9-82(MD-82),AIR,,,FALSE,2,SCHD,,121,None,,AMERICAN AIRLINES INC,Completed,FALSE,,
DCA10WA052,INC,75755,2010-04-13T14:05:00Z,Keflavik,,Iceland,,N380AN,FALSE,None,2020-11-03T05:00:00Z,Minor,0,0,5,,,0,0,BOEING,767-323,AIR,BIKF,Keflavik,FALSE,2,SCHD,,121,None,,AMERICAN AIRLINES INC,N/A,FALSE,,
WPR10FA199,ACC,75710,2010-04-09T20:30:00Z,Los Angeles,California,United States,,N624SW,FALSE,DirectorBrief,2013-05-23T04:00:00Z,None,0,0,0,"The tug operator’s failure to comply with company procedures when parking an unoccupied baggage tug, and the failure of the tug’s seat switch to disengage the electric motor when weight was removed from the driver’s seat.",,33.946666,-118.400276,BOEING,737-3H4,AIR,LAX,Los Angeles International,FALSE,2,SCHD,,121,Substantial,VMC,SOUTHWEST AIRLINES CO,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75710,3/19/2013 13:10
CEN10LA218,ACC,75830,2010-04-05T20:30:00Z,Bradley,Illinois,United States,,N437XJ,FALSE,DirectorBrief,2011-04-28T04:00:00Z,Serious,0,1,0,The flightcrew's encounter with convectively induced turbulence associated with a convective cloud during the flight.,,41.146389,-87.859169,SAAB-SCANIA,SAAB 340B,AIR,,,FALSE,2,SCHD,,121,None,IMC,MESABA AVIATION INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75830,2/1/2011 18:53
ENG10IA026,INC,75905,2010-04-05T07:29:00Z,Newark,New Jersey,United States,,N535JB,FALSE,DirectorBrief,2011-03-28T04:00:00Z,None,0,0,0,"The separation of both halves of the left engine fan cowl assembly due to improper latching and locking of the all the fan cowl latches. The cause of the improper latching and locking of the fan cowls was due to the failure of the mechanic to unstow and properly latch and lock the fan cowl latches after the engine maintenance had been completed, and the failure of the maintenance  inspector to detect and identify the unlatched condition. Contributing the incident is the design of the fan cowl latch assembly that can provide a false latch condition when the latch is neither latched or locked. Also contributing incident is the lack of adequate Airbus and Jet Blue fan cowl latch inspection guidance to detect and identify an unlatched condition.",,40.739349,-74.169296,AIRBUS,A320,AIR,EWR,Newark International Airport,FALSE,2,SCHD,,121,Minor,,"JetBlue Airways, Inc.",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75905,3/28/2011 17:57
CEN10LA189,ACC,75649,2010-04-03T07:38:00Z,Runnells,Iowa,United States,,N869RW,FALSE,DirectorBrief,2010-08-12T04:00:00Z,Serious,0,1,0,"A clear air turbulence encounter during cruise flight, during which an unrestrained cabin flight attendant sustained a hip fracture.",,41.525554,-93.313331,EMBRAER,ERJ 170-100 SE,AIR,,,FALSE,2,SCHD,,121,None,VMC,Republic Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75649,5/26/2010 15:48
OPS10IA020,INC,75605,2010-03-27T12:12:00Z,San Francisco,California,United States,,"N216UA, N9870E",FALSE,DirectorBrief,2011-12-19T05:00:00Z,None,0,0,0,The local controller's issuance of a takeoff clearance to the Boeing 777 without ensuring that approved separation would exist with the Cessna 182. Contributing to the incident were tower procedures that permitted transitioning aircraft to cross the runway 28 departure corridor at low altitude while runways 28L/R were in use.,,37.780551,-122.420082,"BOEING, CESSNA","777-222, 182R","AIR,AIR",,,"FALSE,FALSE","2,1",SCHD,",PERS","121,091","None,None",,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75605,11/1/2011 16:31
OPS10IA014,INC,75585,2010-03-25T14:04:00Z,Worton,Maryland,United States,,"N27239, N909JE",FALSE,DirectorBrief,2010-08-02T04:00:00Z,None,0,0,0,The R10/12 controller issued an improper vector and descent clearance to the GII that put the airplane on a coverging flight path with the B737.  Contributing to the incident was the failure of the FAA's training program to correct ongoing controller performance deficiencies before certifying the D10/12 controller to work without immediate supervision.,,39.25,-76.099998,"BOEING, GULFSTREAM AEROSPACE","737, G1159B","AIR,AIR",,,"FALSE,FALSE","2,2",SCHD,",UNK","121,091","None,None",,"CONTINENTAL AIRLINES INC,HYPERION AIR INC",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75585,6/23/2010 13:38
DCA10WA042,INC,75572,2010-03-23T14:17:00Z,,,Hungary,,N612FE,FALSE,None,2020-11-03T05:00:00Z,None,0,0,0,,,0,0,MCDONNELL DOUGLAS,MD-11F,AIR,,,FALSE,3,NSCH,,121,None,,FEDERAL EXPRESS CORP,N/A,FALSE,,
OPS10IA015,INC,75525,2010-03-19T19:28:00Z,Phoenix,Arizona,United States,,"N992FE, N742SW",FALSE,DirectorBrief,2011-05-19T04:00:00Z,None,0,0,0,The Cessna 208 pilot’s failure to identify the correct landing runway.,,33.430572,-112.010726,"CESSNA, BOEING","208B, 737-7H4","AIR,AIR",PHX,Phoenix Sky Harbor,"FALSE,FALSE","1,2",SCHD,",","135,121","None,None",VMC,",Southwest Airlines",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75525,3/7/2011 15:21
CEN10IA157,INC,75490,2010-03-12T20:04:00Z,Chicago,Illinois,United States,,N16561,FALSE,DirectorBrief,2011-04-28T04:00:00Z,None,0,0,0,An in-flight encounter with lightning. Contributing to the incident was the damaged and displaced tailcone bulkhead frame that inhibited the full travel of the elevator during approach.,,41.830554,-87.726943,EMBRAER,EMB-145LR,AIR,ORD,Chicago O'Hare IAP,FALSE,2,SCHD,,121,Minor,VMC,EXPRESSJET AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75490,2/18/2011 16:29
ERA10CA174,ACC,75481,2010-03-11T12:20:00Z,Titusville,Florida,United States,,N319NB,FALSE,DirectorBrief,2010-07-22T04:00:00Z,Serious,0,1,2,"An inadvertent in-flight encounter with turbulence, resulting in an injury to a cabin attendant.",,28.514722,-80.799163,AIRBUS INDUSTRIE,A319-100,AIR,,,FALSE,2,SCHD,,121,None,VMC,Delta Air Lines Inc,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75481,5/6/2010 13:49
DCA10CA032,ACC,75393,2010-02-20T01:58:00Z,Anchorage,Alaska,United States,,N173UA,FALSE,DirectorBrief,2017-02-23T05:00:00Z,Serious,0,1,25,an inadvertent encounter with clear air turbulence.,,61.174446,-149.996383,BOEING,747,AIR,,,FALSE,4,SCHD,,121,Minor,Unknown,UNITED AIR LINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75393,2/23/2017 19:51
WPR10IA135,INC,75370,2010-02-16T08:35:00Z,Los Angeles,California,United States,,N226SW,FALSE,DirectorBrief,2013-02-27T05:00:00Z,None,0,0,0,The flight crew’s failure to maintain clearance from the jet bridge during taxi. Contributing to the incident was the ramp marshaller's diverted attention and failure to signal the flight crew to stop at the correct position.,,33.942222,-118.397499,EMBRAER,EMB-120ER,AIR,LAX,Los Angeles International,FALSE,2,SCHD,,121,Minor,VMC,SKYWEST AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75370,1/23/2013 20:30
WPR10LA134,ACC,75365,2010-02-13T16:45:00Z,Santa Clarita,California,United States,,N221WN,FALSE,DirectorBrief,2013-02-12T05:00:00Z,Serious,0,1,1,"The pilot’s abrupt airplane pitch change maneuver. Contributing to the accident was the flight crew’s failure to maintain the heading specified by the air traffic controller, which would have avoided the near collision course with an unidentified airplane that triggered the traffic alert and collision avoidance system resolution advisory.",,34.46389,-118.51361,BOEING,737-7H4,AIR,BUR,Bob Hope,FALSE,2,SCHD,,121,None,VMC,SOUTHWEST AIRLINES CO,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75365,12/12/2012 12:02
DCA10IA022,INC,75293,2010-01-19T18:00:00Z,Charleston,West Virginia,United States,,N246PS,FALSE,DirectorBrief,2010-10-29T04:00:00Z,None,0,0,0,"(1) The flight crewmembers’ unprofessional behavior, including their nonadherence to sterile cockpit procedures by engaging in nonpertinent conversation, which distracted them from their primary flight-related duties and led to their failure to correctly set and verify the flaps; (2) the captain’s decision to reconfigure the flaps during the takeoff roll instead of rejecting the takeoff when he first identified the misconfiguration, which resulted in the rejected takeoff beginning when the airplane was about 13 knots above the takeoff decision speed and the subsequent runway overrun; and (3) the flight crewmembers’ lack of checklist discipline, which contributed to their failure to detect the incorrect flap setting before initiating the takeoff roll. Contributing to the survivability of this incident was the presence of an engineered materials arresting system beyond the runway end.",,38.349308,-81.630149,BOMBARDIER,CL600,AIR,CRW,Yeager Airport,FALSE,2,SCHD,,121,Minor,VMC,PSA AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75293,4/8/2010 14:00
ENG10IA010,INC,75267,2010-01-11T22:00:00Z,St. Croix,,United States,,N434AT,FALSE,DirectorBrief,2013-08-08T04:00:00Z,None,0,0,0,The sealing failure between the fuel nozzle adapter assembly and fuel transfer tubes that allowed fuel to leak into the nacelle fire zone where it was subsequently ignited by the hot combustor case. Contributing to the failure was a combination of manufacturing defects of the fuel nozzle adapter assembly by the manufacturer and incorrectly overhauled fuel transfer tubes by the engine manufacturer. Contributing to the incident was a second defect of the fuel nozzle adapter assembly by the manufacturer which prevented maintenance personnel from detecting the internal fuel leak.,,0,0,ATR,ATR72,AIR,STX,Henry E Rohlsen Airport,FALSE,2,SCHD,,121,Minor,,American Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75267,8/8/2013 13:53
DCA10IA021,INC,75258,2010-01-10T11:15:00Z,Newark,New Jersey,United States,,N816UA,FALSE,DirectorBrief,2011-06-27T04:00:00Z,Minor,0,0,3,A mechanical failure of internal components of the right main landing gear door actuator resulting in the flight crew being unable to fully extend the right main landing gear using the normal and alternate procedures.Contributing to this incident was a circular reference in the company Flight Manual in which the Landing Gear Gravity Extension checklist referred back to the Landing Gear Unsafe Indication After Extension checklist rather than the Landing Gear - Partial Gear or Gear Up Landing checklist.,,40.740547,-74.169593,AIRBUS INDUSTRIE,A319-131,AIR,KEWR,Newark,FALSE,2,SCHD,,121,Minor,VMC,UNITED AIR LINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75258,3/22/2011 19:58
ENG10IA016,INC,75388,2010-01-07T05:00:00Z,Cincinnati (CVG),Ohio,United States,,N803DH,FALSE,DirectorBrief,2011-04-12T04:00:00Z,None,0,0,0,Failure of the NLG cylinder occurred by intergranular rupture; coincidental to a chrome plating crack. The failure origin occurred along the inner surface of the cylinder and then propagated by stress corrosion cracking to the outer surface. A secondary crack with the same features as the primary crack was found diagonal to the primary crack. Both cracks initiated by intergranular cracking due to grinding burns caused by abusive grinding and propagated by stress corrosion cracking. Hydrogen embrittlement did not contribute to the intergranular cracking.,,39.080337,-84.700584,DOUGLAS,DC8,AIR,CVG,Cincinnati International Airpo,FALSE,4,SCHD,,121,Minor,,ASTAR AIR CARGO INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75388,4/12/2011 15:33
CEN10IA084,INC,75207,2009-12-25T22:00:00Z,Dallas,Texas,United States,,N494AE,FALSE,DirectorBrief,2012-03-28T04:00:00Z,None,0,0,0,"A fatigue failure of an elevator stop bracket, which resulted in a partial jam of the elevator control. Contributing to the failure was the improper installation of shim stacks, poor alignment of the brackets, and cyclic stresses acting on the lower stop, generated by the repeated improper use of the gust lock system.",,32.891387,-97.036109,ATR,ATR72,AIR,KDFW,Dallas/Fort Worth Internationa,FALSE,2,SCHD,,121,Minor,VMC,EXECUTIVE AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75207,12/22/2011 19:29
DCA10RA017,ACC,75194,2009-12-23T00:22:00Z,Kingston,,Jamaica,,N977AN,TRUE,None,2020-11-03T05:00:00Z,Minor,0,0,15,,,17.935556,-76.787498,BOEING,737,AIR,MKJP,Norman Manley International,FALSE,2,SCHD,,121,Substantial,IMC,"American Airlines Inc.,",N/A,FALSE,,
DCA10CA018,ACC,75196,2009-12-18T13:15:00Z,Dallas,Texas,United States,,N515AE,FALSE,DirectorBrief,2010-12-23T05:00:00Z,Minor,0,0,1,"The fueler's falling asleep in the fueling truck with the truck in neutral and without the parking brake set, which allowed the truck to roll until it impacted the airplane.",,32.896945,-97.038055,BOMBARDIER,CL600 2C10,AIR,DFW,Dallas/Fort Worth Intl Airport,FALSE,2,SCHD,,121,Substantial,VMC,American Eagle,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=75196,5/21/2010 20:28
